trial,archive0,archive1,archive2,archive3,archive4,archive5,archive6,archive7,archive8,archive9,archive10,archive11,archive12,archive13,archive14,archive15,archive16,archive17,archive18,archive19
11 ,350336 ,265600 ,226993 ,330352 ,285620 ,380512 ,368828 ,303240 ,308726 ,266679 ,371098 ,349200 ,315106 ,356431 ,277200 ,250000 ,298716 ,254740 ,322520 ,314160 
12 ,365568 ,358560 ,262834 ,375400 ,342744 ,347424 ,272612 ,317680 ,266627 ,407862 ,299733 ,291000 ,329429 ,340934 ,343200 ,237500 ,312294 ,305688 ,351840 ,274890 
13 ,289408 ,252320 ,262834 ,300320 ,299901 ,397056 ,304684 ,288800 ,336792 ,313740 ,314006 ,349200 ,300783 ,356431 ,277200 ,200000 ,285138 ,318425 ,293200 ,248710 
14 ,350336 ,265600 ,238940 ,345368 ,328463 ,380512 ,368828 ,317680 ,350825 ,313740 ,314006 ,291000 ,329429 ,387425 ,290400 ,275000 ,257982 ,280214 ,351840 ,248710 
15 ,396032 ,332000 ,274781 ,315336 ,357025 ,330880 ,368828 ,259920 ,280660 ,407862 ,285460 ,320100 ,329429 ,340934 ,237600 ,262500 ,366606 ,292951 ,278540 ,261800 
16 ,350336 ,265600 ,250887 ,315336 ,342744 ,430144 ,304684 ,332120 ,252594 ,298053 ,342552 ,320100 ,286460 ,294443 ,303600 ,275000 ,339450 ,242003 ,293200 ,248710 
17 ,335104 ,239040 ,298675 ,330352 ,285620 ,397056 ,368828 ,303240 ,350825 ,313740 ,299733 ,232800 ,272137 ,356431 ,303600 ,300000 ,353028 ,216529 ,395820 ,301070 
18 ,350336 ,292160 ,250887 ,315336 ,285620 ,297792 ,320720 ,375440 ,280660 ,345114 ,342552 ,305550 ,315106 ,325437 ,290400 ,250000 ,271560 ,292951 ,293200 ,274890 
19 ,305734 ,251636 ,365424 ,285012 ,240210 ,250155 ,303513 ,303623 ,324720 ,364041 ,297633 ,271339 ,306768 ,251430 ,291802 ,332800 ,297704 ,312333 ,331959 ,252378 
20 ,364656 ,268596 ,312378 ,330832 ,245934 ,288662 ,313803 ,325028 ,344325 ,295134 ,380848 ,263550 ,311220 ,285040 ,304568 ,293360 ,367824 ,268489 ,349117 ,302778 
21 ,303880 ,387972 ,312378 ,302064 ,300586 ,288662 ,313803 ,325028 ,303006 ,323242 ,292960 ,238450 ,340860 ,342048 ,332256 ,278692 ,337172 ,339144 ,318759 ,288360 
22 ,303880 ,343206 ,283980 ,230144 ,259597 ,314904 ,373575 ,310254 ,289233 ,309188 ,234368 ,288650 ,340860 ,356300 ,332256 ,308028 ,383150 ,296751 ,333938 ,245106 
23 ,288686 ,298440 ,312378 ,287680 ,273260 ,262420 ,283917 ,251158 ,316779 ,309188 ,278312 ,263550 ,296400 ,270788 ,318412 ,278692 ,321846 ,268489 ,318759 ,273942 
24 ,379850 ,343206 ,326577 ,359600 ,300586 ,249299 ,254031 ,310254 ,220368 ,281080 ,278312 ,288650 ,222300 ,242284 ,304568 ,352032 ,367824 ,254358 ,333938 ,346032 
25 ,379850 ,358128 ,269781 ,287680 ,300586 ,249299 ,268974 ,354576 ,220368 ,281080 ,322256 ,276100 ,326040 ,313544 ,318412 ,293360 ,291194 ,339144 ,273222 ,346032 
26 ,303880 ,283518 ,283980 ,345216 ,300586 ,314904 ,239088 ,280706 ,275460 ,295134 ,336904 ,288650 ,340860 ,327796 ,304568 ,352032 ,321846 ,310882 ,303580 ,288360 
27 ,288686 ,358128 ,298179 ,359600 ,286923 ,275541 ,343689 ,280706 ,330552 ,309188 ,292960 ,288650 ,281580 ,285040 ,290724 ,322696 ,321846 ,310882 ,303580 ,230688 
28 ,349462 ,313362 ,269781 ,316448 ,300586 ,288662 ,298860 ,310254 ,261687 ,323242 ,351552 ,276100 ,237120 ,285040 ,276880 ,234688 ,306520 ,296751 ,303580 ,317196 
29 ,303880 ,283518 ,312378 ,302064 ,245934 ,301783 ,328746 ,295480 ,261687 ,295134 ,351552 ,288650 ,311220 ,342048 ,318412 ,278692 ,306520 ,296751 ,425012 ,302778 
30 ,303880 ,298440 ,269781 ,316448 ,259597 ,288662 ,313803 ,354576 ,303006 ,323242 ,380848 ,276100 ,296400 ,256536 ,332256 ,308028 ,367824 ,296751 ,333938 ,273942 
